,Atlas,Representation,Accuracy,acc_std,F1,f1_std,Precision,prec_std,Recall,rec_stds
0,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
1,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
2,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
3,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
4,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
5,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
6,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
7,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
8,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
9,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
10,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
11,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
12,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
13,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
14,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
15,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
16,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
17,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
18,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
19,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
20,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
21,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
22,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
23,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
24,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
25,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
26,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
27,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
28,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
29,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
30,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
31,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
32,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
33,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
34,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
35,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
36,AAL,sFC,58.5,28.28869031963127,0.5290476190476191,0.36805827449472767,0.5583333333333333,0.39799846454198506,0.5666666666666667,0.42295258468165065
37,AAL,ising,53.49999999999999,19.241881404893856,0.5978571428571429,0.2404748939144679,0.5416666666666666,0.2546511775394377,0.7333333333333333,0.3265986323710904
